47	123393
30	120347
20	106867
17	120347
14	122347
7	120347
6	107004
6	122467
6	123737
5	120699
5	123597
5	122379
4	120347
3	121479
3	123993
3	106719
3	105853
3	101094
2	122383
2	120347
2	120347
2	119871
2	123635
2	104841
2	123927
2	120347
1	120347
1	121699
1	123635
1	121479
1	120779
1	122040
1	105749
1	120347
1	123927
1	104317
1	123423
1	123691
1	124101
1	119425
1	122367
1	122357
1	122367
1	120920
1	122088
1	120347
1	120347
1	121479
1	120932
1	119423
1	121066
1	121028
1	119749
1	121579
1	120779
1	122345
1	121619
1	123677
1	104047
1	123119
1	107543
1	122124
1	119903
1	105386
1	119677
1	122581
1	119859
1	123401
1	120807
1	119869
1	122347
1	122168
1	123927
1	122379
1	122387
